timestamp,event_type,user,domain,user_sid,account_type,logon_type,status,failure_reason,logon_id,session_duration,source_ip,destination_ip,workstation_name,is_business_hours,day_of_week,hour_of_day,elevated_token,risk_factors,risk_score,authentication_method,event_id,event_task_category,target_user_name,caller_process_name
2025-01-18 12:37:34,Logoff,jayku,JAYKUMAR,,,,success,,0xef346ad,,,,,0,Saturday,12,0,[],0.0,,4634,12545,,
2025-01-18 11:52:35,Logoff,jayku,JAYKUMAR,,,,success,,0xdd763ca,,,,,0,Saturday,11,0,[],0.0,,4634,12545,,
2025-01-18 00:05:00,Logoff,DWM-2,Window Manager,,,,success,,0x8143bfc,,,,,0,Saturday,0,0,[],0.0,,4634,12545,,
2025-01-18 00:04:59,Logoff,UMFD-2,Font Driver Host,,,,success,,0x813fcd3,,,,,0,Saturday,0,0,[],0.0,,4634,12545,,
2025-01-17 21:12:53,Logoff,jayku,JAYKUMAR,,,,success,,0x81bb62c,,,,,0,Friday,21,0,[],0.0,,4634,12545,,
2025-01-17 17:27:53,Logoff,jayku,JAYKUMAR,,,,success,,0x7de116f,,,,,1,Friday,17,0,[],0.0,,4634,12545,,
2025-01-17 16:41:02,Logoff,jayku,JAYKUMAR,,,,success,,0x7013a59,,,,,1,Friday,16,0,[],0.0,,4634,12545,,
2025-01-17 15:05:32,Logoff,jayku,JAYKUMAR,,,,success,,0x536997e,,,,,1,Friday,15,0,[],0.0,,4634,12545,,
2025-01-17 13:54:02,Logoff,jayku,JAYKUMAR,,,,success,,0x4187746,,,,,1,Friday,13,0,[],0.0,,4634,12545,,
2025-01-17 11:56:51,Logoff,jayku,JAYKUMAR,,,,success,,0x3e0031d,,,,,1,Friday,11,0,[],0.0,,4634,12545,,
2025-01-17 11:51:44,Logoff,jayku,JAYKUMAR,,,,success,,0x3d71685,,,,,1,Friday,11,0,[],0.0,,4634,12545,,
2025-01-17 10:10:54,Logoff,jayku,JAYKUMAR,,,,success,,0x1a10eb,,,,,1,Friday,10,0,[],0.0,,4634,12545,,
2025-01-16 21:57:20,Logoff,UMFD-10,Font Driver Host,,,,success,,0xb1581c6,,,,,0,Thursday,21,0,[],0.0,,4634,12545,,
2025-01-16 21:33:17,Logoff,jayku,JAYKUMAR,,,,success,,0xb2acef7,,,,,0,Thursday,21,0,[],0.0,,4634,12545,,
2025-01-15 22:54:57,Logoff,DWM-9,Window Manager,,,,success,,0xa8e2a26,,,,,0,Wednesday,22,0,[],0.0,,4634,12545,,
2025-01-15 22:54:55,Logoff,UMFD-9,Font Driver Host,,,,success,,0xa8e002d,,,,,0,Wednesday,22,0,[],0.0,,4634,12545,,
2025-01-15 22:48:29,Logoff,jayku,JAYKUMAR,,,,success,,0xa9d7a70,,,,,0,Wednesday,22,0,[],0.0,,4634,12545,,
2025-01-15 22:48:14,Logoff,DWM-8,Window Manager,,,,success,,0xa02e631,,,,,0,Wednesday,22,0,[],0.0,,4634,12545,,
2025-01-15 22:45:21,Logoff,UMFD-8,Font Driver Host,,,,success,,0xa02b04e,,,,,0,Wednesday,22,0,[],0.0,,4634,12545,,
2025-01-15 22:37:48,Logoff,jayku,JAYKUMAR,,,,success,,0xa1a35f6,,,,,0,Wednesday,22,0,[],0.0,,4634,12545,,
2025-01-15 20:53:32,Logoff,DWM-7,Window Manager,,,,success,,0x79921b2,,,,,0,Wednesday,20,0,[],0.0,,4634,12545,,
2025-01-15 20:53:28,Logoff,UMFD-7,Font Driver Host,,,,success,,0x79906c1,,,,,0,Wednesday,20,0,[],0.0,,4634,12545,,
2025-01-15 20:53:23,Logoff,jayku,JAYKUMAR,,,,success,,0xa01011a,,,,,0,Wednesday,20,0,[],0.0,,4634,12545,,
2025-01-15 19:59:12,Logoff,jayku,JAYKUMAR,,,,success,,0x7a4573f,,,,,0,Wednesday,19,0,[],0.0,,4634,12545,,
2025-01-15 19:59:09,Logoff,DWM-6,Window Manager,,,,success,,0x76e9259,,,,,0,Wednesday,19,0,[],0.0,,4634,12545,,
2025-01-15 12:53:17,Logoff,UMFD-6,Font Driver Host,,,,success,,0x76e5ee8,,,,,1,Wednesday,12,0,[],0.0,,4634,12545,,
2025-01-15 12:53:00,Logoff,jayku,JAYKUMAR,,,,success,,0x7938c66,,,,,1,Wednesday,12,0,[],0.0,,4634,12545,,
2025-01-15 12:01:17,Logoff,jayku,JAYKUMAR,,,,success,,0x77aa016,,,,,1,Wednesday,12,0,[],0.0,,4634,12545,,
